canonical_id,year,seq,suffix,published,source,source_url,wayback_timestamp,local_path,sha256,bytes,pages,low_confidence,fetched_at
2025-007S,2025,7,S,,wayback,https://web.archive.org/web/20250325162702id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/02/Lista-Oficial-Web-075S.pdf,20250325162702,pdfs/2025/Lista-Oficial-Web-075S.pdf,bb83762f9dc1d4542147d2bdc0bba9c569879afd0ec2d7b384b16ca85ad00c47,3393280,2,False,2026-08-11T01:21:02+00:00
2025-008,2025,8,,,wayback,https://web.archive.org/web/20250325151011id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/02/Lista-Oficial-Web-085.pdf,20250325151011,pdfs/2025/Lista-Oficial-Web-085.pdf,3621afad2e0d7c61cf00c7bad6de345bf2b055fa6f876f2356e23fbec9fe2b89,3553235,2,False,2026-08-11T01:21:08+00:00
2025-009,2025,9,,,wayback,https://web.archive.org/web/20250325164028id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/02/Lista-Oficial-Web-095.pdf,20250325164028,pdfs/2025/Lista-Oficial-Web-095.pdf,b5baa519f25bb8e9306f888f2692c8e7bd3c2646f12c1a43c1fc202f6a267e3f,3819635,2,False,2026-08-11T01:21:15+00:00
2025-010,2025,10,,,wayback,https://web.archive.org/web/20250325162440id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/03/Lista-Oficial-Web-105.pdf,20250325162440,pdfs/2025/Lista-Oficial-Web-105.pdf,a0f5a39c2b492869cd4c60db83a6f8a9d9a19d96762bb81c64641e66ec021209,5043549,2,False,2026-08-11T01:21:23+00:00
2025-011,2025,11,,,wayback,https://web.archive.org/web/20250421050857id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/03/Lista-Oficial-Web-115.pdf,20250421050857,pdfs/2025/Lista-Oficial-Web-115.pdf,d119423b11660a8a2f4c7b1ce92751edb8c76e92b05c4f2c56098cf3fa3745fa,5151548,2,False,2026-08-11T01:21:29+00:00
2025-012,2025,12,,,wayback,https://web.archive.org/web/20250421041713id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/03/Lista-Oficial-Web-125.pdf,20250421041713,pdfs/2025/Lista-Oficial-Web-125.pdf,c16f55ce8a82fcb6c656203f4ddf8d04965e9c673201572648be452d97544311,3708908,2,False,2026-08-11T01:21:35+00:00
2025-013,2025,13,,,wayback,https://web.archive.org/web/20250421054435id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/03/Lista-Oficial-Web-135.pdf,20250421054435,pdfs/2025/Lista-Oficial-Web-135.pdf,6f4875dba91d3141661009842a8f62c4296b2f60581f25d546ddf26532bafac2,3684996,2,False,2026-08-11T01:21:43+00:00
2025-014S,2025,14,S,,wayback,https://web.archive.org/web/20250421043352id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/04/Lista-Oficial-Web-145S.pdf,20250421043352,pdfs/2025/Lista-Oficial-Web-145S.pdf,a76ddc223314a68dc685a27b40600b5ab3ee8819b1f7cc6fe03db531c93408ef,3631738,2,False,2026-08-11T01:21:50+00:00
2025-015,2025,15,,,wayback,https://web.archive.org/web/20250524132131id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/04/Lista-Oficial-Web-155.pdf,20250524132131,pdfs/2025/Lista-Oficial-Web-155.pdf,41d2b3592b66c8701162dc245859f49ebd506b3b6c0e0c670846f61d835a3540,3430809,2,False,2026-08-11T01:21:56+00:00
2025-016,2025,16,,,wayback,https://web.archive.org/web/20250524123907id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/04/Lista-Oficial-Web-165.pdf,20250524123907,pdfs/2025/Lista-Oficial-Web-165.pdf,1bc02633c7e81218fb9dbc48132ce77e4a7676029409769bbd3e48a56efdea0a,3388495,2,False,2026-08-11T01:22:02+00:00
2025-017,2025,17,,,wayback,https://web.archive.org/web/20250524115445id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/04/Lista-Oficial-Web-175.pdf,20250524115445,pdfs/2025/Lista-Oficial-Web-175.pdf,f03c8dbba1094e36163edef75e88d94e32d47cc2de47536b42c7fd73caae82c1,3450439,2,False,2026-08-11T01:22:12+00:00
2025-018,2025,18,,,wayback,https://web.archive.org/web/20250524122229id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/05/Lista-Oficial-Web-185.pdf,20250524122229,pdfs/2025/Lista-Oficial-Web-185.pdf,1bcd229075e363d81ff611b45997b0682c2bcc93938994a937f9af27da5f5e23,3384270,2,False,2026-08-11T01:22:22+00:00
2025-019,2025,19,,,wayback,https://web.archive.org/web/20250524134342id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/05/Lista-Oficial-Web-195.pdf,20250524134342,pdfs/2025/Lista-Oficial-Web-195.pdf,460fa152ef57288f322d3c0503c13548291d3b09923308cc0c98dc5b74a7cafa,3239490,2,False,2026-08-11T01:22:28+00:00
2025-020,2025,20,,,wayback,https://web.archive.org/web/20250525204144id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/05/Lista-Oficial-Web-205.pdf,20250525204144,pdfs/2025/Lista-Oficial-Web-205.pdf,92f78803377e072bb90856e4e01d48559c2172a667457356af3b3d545300d41d,3380158,2,False,2026-08-11T01:22:31+00:00
2025-021,2025,21,,,wayback,https://web.archive.org/web/20250525204134id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/05/Lista-Oficial-Web-215.pdf,20250525204134,pdfs/2025/Lista-Oficial-Web-215.pdf,81d654e70de44fa4bd86fc201c681e590577794c3c85c9b2b3595ee266223e7a,3315461,2,False,2026-08-11T01:22:34+00:00
2025-022,2025,22,,,wayback,https://web.archive.org/web/20250601051932id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/05/Lista-Oficial-Web-225.pdf,20250601051932,pdfs/2025/Lista-Oficial-Web-225.pdf,22bbb5a2f2172eb9235bba001e1e259a220e53c8f39ea3164e92481a42531774,3412340,2,False,2026-08-11T01:22:40+00:00
2025-023X,2025,23,X,,wayback,https://web.archive.org/web/20250625144502id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/06/Lista-Oficial-Web-235X.pdf,20250625144502,pdfs/2025/Lista-Oficial-Web-235X.pdf,b2ad8a4c76b83269a07c38227a59dc89b030de2a4a464bdaa23ec823afce8a3d,3471590,2,False,2026-08-11T01:22:46+00:00
2025-024,2025,24,,,wayback,https://web.archive.org/web/20250625144459id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/06/Lista-Oficial-Web-245.pdf,20250625144459,pdfs/2025/Lista-Oficial-Web-245.pdf,6a3eff2cfcd0274deae434228c3ec0057b17a958683450c8bef287e7f069fbc9,3420283,2,False,2026-08-11T01:22:51+00:00
2025-025,2025,25,,,wayback,https://web.archive.org/web/20250625144455id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/06/Lista-Oficial-Web-255.pdf,20250625144455,pdfs/2025/Lista-Oficial-Web-255.pdf,2c6bcb7b6842b4737eedb4fe05e64fba26e343f9d75e35519bf324eec1210f8d,3424344,2,False,2026-08-11T01:22:57+00:00
